Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[8.75366431e-01 5.26882898e+00 7.43764774e-02 3.88857586e+00
 1.34250296e+01 1.88689156e+03 8.60000000e+01]","[0.84504502 0.48       0.99966568 0.95953114 0.83472915 0.52
 0.95953114 0.81314461 0.81314461 0.81314461 0.73819466 0.80338291]",3.350458307322667,290.2433114051819
1,"[8.70384388e-01 5.26897721e+00 7.21696605e-02 3.87404535e+00
 1.71906788e+01 1.89027054e+03 4.10000000e+01]","[0.56000679 0.57       0.99993009 0.93788539 0.79857497 0.52
 0.93788539 0.92117465 0.92117465 0.92117465 0.88041657 0.82382423]",3.3623374268124997,273.19313764572144
2,"[7.38472310e-01 5.26893469e+00 4.31815318e-01 3.88946249e+00
 1.73817279e+01 1.34223814e+03 1.00000000e+00]","[0.88798534 0.67       0.99993009 0.98272712 0.9728268  0.61
 0.98272712 0.96513562 0.96513562 0.96513562 0.98151898 0.82979921]",2.44847487012,253.2317054271698
3,"[1.99825889e-01 5.26932608e+00 2.22112955e-01 3.55675699e+00
 3.12241000e-01 1.90181094e+03 8.50000000e+01]","[0.82943634 0.46       0.99995471 0.97289702 0.7971495  0.36
 0.97289702 0.98136026 0.98136026 0.98136026 0.86750711 0.84531535]",3.3515449616733335,276.6742911338806
4,"[5.81831794e-01 5.27010740e+00 7.32236229e-02 3.73757515e+00
 1.31409978e+01 1.34916504e+03 7.60000000e+01]","[0.51439297 0.54       0.99966568 0.95953114 0.96542927 0.47
 0.95953114 0.89168049 0.89168049 0.89168049 0.88193326 0.90192116]",2.4530372142018333,277.7360050678253
5,"[5.81831794e-01 5.27010740e+00 7.32236229e-02 3.73757515e+00
 1.31409978e+01 1.34916504e+03 7.60000000e+01]","[0.51439297 0.54       0.99966568 0.95953114 0.96542927 0.47
 0.95953114 0.89168049 0.89168049 0.89168049 0.88193326 0.90192116]",2.4530372142018333,271.94563031196594
6,"[9.18997900e-01 5.26897373e+00 1.88418086e-01 3.73407500e+00
 1.79954380e+01 1.89546178e+03 6.00000000e+00]","[0.83220738 0.65       0.99993009 0.98272712 0.9031109  0.59
 0.98272712 0.96513562 0.96513562 0.96513562 0.93281157 0.75740329]",3.37198474424,287.48988676071167
7,"[6.59214106e-01 5.26868565e+00 6.17083170e-02 3.59615711e+00
 1.69147764e+01 1.89359989e+03 1.90000000e+01]","[0.78058012 0.57       0.99993009 0.93788539 0.9031109  0.52
 0.93788539 0.92117465 0.92117465 0.92117465 0.91850871 0.89299445]",3.3666283582483336,279.3072636127472
8,"[5.41507133e-01 5.26898246e+00 1.78783848e-01 3.96652126e+00
 1.66905375e+01 1.35284571e+03 7.70000000e+01]","[0.43305581 0.63       0.99985924 0.93788539 0.96542927 0.57
 0.93788539 0.85516726 0.85516726 0.85516726 0.88193326 0.85655203]",2.465224124175,282.71187925338745
9,"[7.60589236e-01 5.26843698e+00 1.02158903e-01 3.99404062e+00
 4.87826899e+00 1.89883659e+03 4.90000000e+01]","[0.70236313 0.37       0.99909871 0.96982354 0.78931881 0.28
 0.96982354 0.95681144 0.95681144 0.95681144 0.80044915 0.88869067]",3.356059611538333,275.27248191833496
10,"[8.85863233e-01 5.26889544e+00 5.39819867e-02 3.94796105e+00
 1.67368391e+01 1.34799794e+03 8.00000000e+01]","[0.43305581 0.6        0.99985924 0.93788539 0.96542927 0.56
 0.93788539 0.80744779 0.80744779 0.80744779 0.91106506 0.85655203]",2.4579725280605,278.1035008430481
11,"[7.45219785e-01 5.26893388e+00 1.03949563e-01 3.79160907e+00
 1.74039276e+01 1.89489268e+03 1.30000000e+01]","[0.83220738 0.62       0.99993009 0.93788539 0.9031109  0.57
 0.93788539 0.94111825 0.94111825 0.94111825 0.92038832 0.85691301]",3.3699973679533333,265.4997889995575
12,"[7.96016037e-01 5.26897929e+00 1.24074144e-01 3.87105714e+00
 1.71454158e+01 2.45154837e+03 8.90000000e+01]","[0.55388023 0.7        0.99985924 0.99698341 0.97782256 0.61
 0.99698341 0.99990139 0.99990139 0.99990139 0.63873141 0.83714359]",4.297509606871667,279.45023345947266
13,"[9.35244747e-01 5.26889001e+00 4.55492606e-02 3.51916766e+00
 1.66091422e+01 1.89716406e+03 1.70000000e+01]","[0.78058012 0.57       0.99993009 0.93788539 0.9031109  0.55
 0.93788539 0.94111825 0.94111825 0.94111825 0.92626734 0.89299445]",3.3724182589273335,263.623646736145
14,"[7.07214025e-01 5.26886572e+00 1.49445970e-01 3.64410411e+00
 1.66595602e+01 1.89256637e+03 4.20000000e+01]","[0.56000679 0.57       0.99993009 0.93788539 0.79857497 0.53
 0.93788539 0.92117465 0.92117465 0.92117465 0.88041657 0.82382423]",3.3644944468083335,269.93517231941223
15,"[7.07214025e-01 5.26886572e+00 1.49445970e-01 3.64410411e+00
 1.66595602e+01 1.89256637e+03 4.20000000e+01]","[0.56000679 0.57       0.99993009 0.93788539 0.79857497 0.53
 0.93788539 0.92117465 0.92117465 0.92117465 0.88041657 0.82382423]",3.3644944468083335,268.1458032131195
16,"[5.64863641e-01 5.26867974e+00 3.17850194e-01 3.98054643e+00
 1.67578113e+01 1.90441807e+03 4.60000000e+01]","[0.56000679 0.55       0.99993009 0.93788539 0.79857497 0.52
 0.93788539 0.92117465 0.92117465 0.92117465 0.88041657 0.82382423]",3.3844535348616662,275.64702701568604
17,"[7.01581795e-01 5.26873076e+00 1.34771802e-01 3.85721555e+00
 4.53269123e+00 1.88984310e+03 5.00000000e+01]","[0.70236313 0.37       0.99909871 0.96982354 0.78931881 0.28
 0.96982354 0.95681144 0.95681144 0.95681144 0.80044915 0.88869067]",3.340114245888334,278.10942459106445
18,"[9.26798960e-01 5.26866679e+00 4.35431857e-01 3.86361967e+00
 1.65007786e+01 1.89512114e+03 5.60000000e+01]","[0.4945927  0.59       0.99987272 0.93788539 0.80784989 0.53
 0.93788539 0.92117465 0.92117465 0.92117465 0.6907111  0.82382423]",3.368742620271666,279.94113397598267
19,"[5.41507133e-01 5.26898246e+00 1.78783848e-01 3.96652126e+00
 1.66905375e+01 1.35284571e+03 7.70000000e+01]","[0.43305581 0.63       0.99985924 0.93788539 0.96542927 0.57
 0.93788539 0.85516726 0.85516726 0.85516726 0.88193326 0.85655203]",2.465224124175,271.5811891555786
20,"[9.26798960e-01 5.26866679e+00 4.35431857e-01 3.86361967e+00
 1.65007786e+01 1.89512114e+03 5.60000000e+01]","[0.4945927  0.59       0.99987272 0.93788539 0.80784989 0.53
 0.93788539 0.92117465 0.92117465 0.92117465 0.6907111  0.82382423]",3.368742620271666,267.21787571907043
21,"[6.82429691e-01 5.14617324e+00 2.14490492e-01 3.53256216e+00
 2.17838716e+01 1.34840309e+03 9.60000000e+01]","[0.84317759 0.77       0.99994885 0.99998027 0.99735286 0.63
 0.99998027 0.99999557 0.99999557 0.99999557 0.88720155 0.8344582 ]",2.4655560603316666,273.1867129802704
22,"[8.29043064e-01 5.26947671e+00 1.66463003e-01 3.64410189e+00
 1.67805862e+01 1.89945344e+03 7.30000000e+01]","[0.75212183 0.54       0.99985924 0.93788539 0.80662874 0.48
 0.93788539 0.85516726 0.85516726 0.85516726 0.66132656 0.82382423]",3.3763503081016664,273.26821541786194
23,"[9.43094795e-01 5.26899049e+00 1.15222199e-01 3.94773591e+00
 1.72557818e+01 1.90114123e+03 6.00000000e+01]","[0.60819855 0.59       0.99987272 0.93788539 0.80784989 0.49
 0.93788539 0.92117465 0.92117465 0.92117465 0.6907111  0.82382423]",3.3807360179933337,268.108517408371
24,"[8.69757102e-01 5.14330763e+00 2.93896557e-01 3.64082055e+00
 2.15164124e+01 1.34192039e+03 9.50000000e+01]","[0.84317759 0.77       0.99994885 0.99998027 0.99735286 0.64
 0.99998027 0.99999557 0.99999557 0.99999557 0.88720155 0.8344582 ]",2.4546613185416666,285.1674585342407
25,"[7.60589236e-01 5.26843698e+00 1.02158903e-01 3.99404062e+00
 4.87826899e+00 1.89883659e+03 4.90000000e+01]","[0.70236313 0.37       0.99909871 0.96982354 0.78931881 0.28
 0.96982354 0.95681144 0.95681144 0.95681144 0.80044915 0.88869067]",3.356059611538333,275.2278747558594
26,"[6.51835093e-01 5.26854613e+00 4.43792192e-01 3.76968021e+00
 1.67281906e+01 1.89156043e+03 1.60000000e+01]","[0.78090144 0.58       0.99993009 0.93788539 0.9031109  0.55
 0.93788539 0.94111825 0.94111825 0.94111825 0.92626734 0.85691301]",3.3625581497349994,278.156445980072
27,"[6.34273965e-01 5.26855253e+00 1.43850860e-01 3.55787206e+00
 1.66954468e+01 1.34657982e+03 7.80000000e+01]","[0.43305581 0.59       0.99985924 0.93788539 0.96542927 0.55
 0.93788539 0.97620644 0.97620644 0.97620644 0.91106506 0.85655203]",2.454320190825,298.28618454933167
