Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,[ 5.73600911  0.1008987   6.4702     30.          1.          1.        ],[0.35030392 0.84630775 0.27552842],0.503132944,0.1686568260192871
1,"[2.39326151e+01 1.66482767e-10 1.98800000e-01 1.60000000e+01
 2.00000000e+00 0.00000000e+00]",[0.7037745  0.88762457 0.60724387],0.7103623899916758,0.134225845336914
2,[ 5.74115334  0.06404037  0.3149     23.          1.          1.        ],[0.78199866 0.83203954 0.49626536],0.5050330186111112,0.0990855693817138
3,[ 5.4035081   0.53350833  1.6323     -5.          0.          0.        ],[0.73128907 0.80520375 0.67702284],0.47780800683333335,0.2184224128723144
4,[ 5.73787515  0.09701116  7.7738     26.          0.          1.        ],[0.29949482 0.75184427 0.43632385],0.5033480547777778,0.3279309272766113
5,[5.04564348 0.85828114 1.9801     0.         0.         0.        ],[0.71400551 0.81376877 0.66927623],0.4575930927777778,0.1899755001068115
6,[12.29083095  0.11595653  8.5411     18.          1.          0.        ],[0.20194943 0.80966173 0.1123203 ],0.5752114062777778,0.1732316017150879
7,[5.03585004 0.0674902  0.4984     1.         0.         0.        ],[0.79699543 0.86506283 0.69791979],0.49702382377777776,0.1291828155517578
8,[ 5.18861739  7.36912188  7.2918     -4.          1.          0.        ],[0.30045829 0.83170921 0.25195624],0.13363965477777784,0.1420974731445312
9,"[1.63318927e+01 1.11306555e-11 7.57610000e+00 1.90000000e+01
 1.00000000e+00 1.00000000e+00]",[0.24246808 0.86306967 0.21371259],0.6259099188883324,0.1261539459228515
10,"[2.08667499e+01 4.22883826e-11 7.60430000e+00 2.30000000e+01
 2.00000000e+00 2.00000000e+00]",[0.19875511 0.87045548 0.27737561],0.6762972211089966,0.1171991825103759
11,"[1.39636595e+01 1.07167433e-09 4.13640000e+00 1.30000000e+01
 1.00000000e+00 0.00000000e+00]",[0.48933152 0.88436696 0.45526919],0.5995962166130828,0.1143689155578613
12,"[  5.03660724   4.4321998    3.052      -14.           0.
   1.        ]",[0.64221484 0.82441093 0.68206396],0.27879675711111107,0.1949927806854248
13,"[ 10.64961039   0.9146069    9.0322     -10.           1.
   1.        ]",[0.17187196 0.80551915 0.17660147],0.5170431037777778,0.1934065818786621
14,[ 5.734563    0.90850113  2.9523     -2.          1.          1.        ],[0.60020029 0.82721342 0.63046951],0.4627367546111111,0.1629955768585205
15,[12.47398215  0.03351329  3.1069     14.          0.          2.        ],[0.61446672 0.86189396 0.59583064],0.581368581611111,0.1130018234252929
16,"[  5.03541145   5.02332187   0.9751     -12.           1.
   1.        ]",[0.74270959 0.86501867 0.69471562],0.24922736705555548,0.1706392765045166
17,[ 5.75103428  0.88626971  1.3357     -8.          0.          1.        ],[0.7458266  0.80906086 0.67556107],0.46403133983333333,0.1836140155792236
18,"[1.30886744e+01 5.17867206e-12 5.05580000e+00 1.30000000e+01
 1.00000000e+00 0.00000000e+00]",[0.42161532 0.89395306 0.38203157],0.5898741599997411,0.1459825038909912
19,"[2.54962871e+01 3.13313396e-14 1.23680000e+00 2.40000000e+01
 2.00000000e+00 2.00000000e+00]",[0.627721   0.87543446 0.57460383],0.7277365233333317,0.1342060565948486
20,[12.22714001  0.8264888   4.9123      2.          2.          0.        ],[0.38715163 0.84901068 0.45675785],0.5389771156666667,0.1529374122619629
21,"[2.72705047e+01 7.02233467e-05 4.33120000e+00 2.20000000e+01
 2.00000000e+00 0.00000000e+00]",[0.38913659 0.87417632 0.43391884],0.7474465410548872,0.1773698329925537
22,[ 8.5025922   1.50129817  6.3339     -8.          2.          0.        ],[0.29631305 0.81120523 0.36569403],0.46385278261111107,0.1000678539276123
23,[ 5.03546484  0.09922625  6.2803     21.          0.          0.        ],[0.40637623 0.82445088 0.53661531],0.4954327412777778,0.2403402328491211
24,[ 9.85305649  0.06374073  4.5793     10.          2.          0.        ],[0.42250219 0.86773745 0.46678615],0.5507358133888889,0.1526613235473632
25,"[  5.03585375   9.19871273   3.2484     -30.           2.
   0.        ]",[0.54726604 0.81406583 0.80453576],0.04046273850000004,0.203890323638916
