,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[15.19431818 97.94433535 99.9967     84.78177576 92.92929293 41.48573434
 23.23631414 78.77865455  1.        ]",[0.959476   0.68403614 0.99995959 0.96127206],32.47150707070705,,,0.05736565589904785
1,"[ 1.06102121 98.95406768 99.9967     81.75609091 93.93939394 14.25094343
 71.71592626 20.20515758  1.        ]",[0.96058661 0.85438863 0.99949586 0.95533194],20.35416262626262,,,0.03537702560424805
2,"[ 1.06102121 97.94433535 99.9967     84.78177576 92.92929293  0.1292
 32.32624141 78.77865455  0.        ]",[0.90092163 0.92775545 0.9774909  0.57745049],18.338210101010134,,,0.05746769905090332
3,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 9.09090909e+01 6.18137576e+00 7.27259182e+01 8.18083182e+01
 0.00000000e+00]",[0.86457117 0.93719152 0.84288877 0.57745049],13.293271717171706,,,0.02249765396118164
4,"[ 1.06102121 87.84701212 99.9967     21.24239394 71.71717172  2.14659192
 70.70593434 20.20515758  1.        ]",[0.96058661 0.92713808 0.99786925 0.96586733],91.97491515151518,,,0.024524211883544922
5,"[ 1.06102121 87.84701212 99.9967     87.80746061 96.96969697  5.1726798
 70.70593434 20.20515758  1.        ]",[0.96058661 0.89569581 0.99605775 0.95533194],25.40984848484851,,,0.03794598579406738
6,"[ 1.0515     83.81781515 98.9967     86.80746061 92.91919192  0.
 80.81584545 19.20515758  1.        ]",[0.96058661 0.8137338  0.9974758  0.93412207],31.429524242424236,,,0.035013437271118164
7,"[1.06102121e+00 9.89540677e+01 9.99967000e+01 8.47817758e+01
 9.09090909e+01 1.29200000e-01 6.50000000e-03 3.83831394e+01
 0.00000000e+00]",[0.36030668 0.91267688 0.99918193 0.92835127],17.328477777777778,,,0.0639488697052002
8,"[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.72937636e+01
 9.69696970e+01 2.63552949e+01 6.16160071e+01 2.02051576e+01
 1.00000000e+00]",[0.96058661 0.82970796 0.9979195  0.95673079],87.94322121212122,,,0.04532670974731445
9,"[ 1.06102121 85.82754747 99.9967     87.80746061 90.90909091  7.19007172
 74.74590202 20.20515758  1.        ]",[0.96058661 0.89569581 0.99662316 0.95533194],27.42931313131311,,,0.036362409591674805
10,"[5.15000000e-02 9.08762091e+01 9.99967000e+01 6.86447899e+01
 9.39393939e+01 2.33292071e+01 7.27259182e+01 3.53534758e+01
 1.00000000e+00]",[0.96058661 0.81281581 0.99941111 0.94507428],40.533801010101,,,0.0579829216003418
11,"[ 1.06102121 85.82754747 99.9967     87.80746061 90.90909091  2.14659192
 72.72591818 20.20515758  1.        ]",[0.96058661 0.89569581 0.996185   0.95533194],27.42931313131311,,,0.03325796127319336
12,"[ 1.06102121 97.94433535 99.9967     84.78177576  0.          0.1292
 80.80585354 20.20515758  0.        ]",[0.44382833 0.90841321 0.99751604 0.87759175],18.338210101010134,,,0.04845166206359863
13,"[ 1.06102121 87.84701212 99.9967     92.85026869 96.96969697 16.26833535
 71.71592626 20.20515758  1.        ]",[0.96058661 0.89569581 0.99857414 0.95533194],20.36704040404038,,,0.058002471923828125
14,"[ 1.06102121 97.94433535 99.9967     84.78177576 92.92929293  0.1292
 32.32624141 78.77865455  0.        ]",[0.90092163 0.92775545 0.9774909  0.57745049],18.338210101010134,,,0.06031155586242676
15,"[ 1.06102121 98.95406768 99.9967     21.24239394 71.71717172  2.14659192
 70.70593434 20.20515758  1.        ]",[0.96058661 0.89684885 0.99775797 0.96586733],80.8678595959596,,,0.023950815200805664
16,"[ 1.06102121 87.84701212 99.9967     87.80746061 96.96969697  5.1726798
 70.70593434 20.20515758  1.        ]",[0.96058661 0.89569581 0.99605775 0.95533194],25.40984848484851,,,0.02302098274230957
17,"[ 1.06102121 75.73022424 99.9967     84.78177576 90.90909091 23.32920707
 70.70593434 79.78854242  0.        ]",[0.87538436 0.92563057 0.97849232 0.54743915],40.55232121212117,,,0.03201007843017578
18,"[ 1.06102121 85.82754747 99.9967     87.80746061 90.90909091  7.19007172
 74.74590202 20.20515758  1.        ]",[0.96058661 0.89569581 0.99662316 0.95533194],27.42931313131311,,,0.052951812744140625
19,"[ 1.06102121 98.95406768 99.9967     99.9102     85.85858586  0.1292
 14.14638687 20.20515758  0.        ]",[0.75919331 0.92373443 0.6827327  0.54076435],2.2000535353535042,,,0.008939743041992188
20,"[ 1.06102121 79.76915354 99.9967     94.86739192 93.93939394 11.22485556
 71.71592626 20.20515758  1.        ]",[0.96058661 0.89001186 0.99892247 0.94982749],26.42777575757566,,,0.0473475456237793
21,"[ 1.06102121 84.81781515 99.9967     51.49924242 89.8989899  16.26833535
 83.83582929 20.20515758  1.        ]",[0.96058661 0.90449305 0.99675721 0.95223364],64.74726363636364,,,0.03151583671569824
22,"[ 1.06102121 98.95406768 99.9967     21.24239394 71.71717172  2.14659192
 72.72591818 20.20515758  1.        ]",[0.96058661 0.89684885 0.99591053 0.96586733],80.8678595959596,,,0.02650904655456543
23,"[ 1.06102121 75.73022424 99.9967     84.78177576 90.90909091 23.32920707
 41.41616869 78.77865455  0.        ]",[0.87538436 0.92034432 0.97602493 0.54743915],40.55232121212117,,,0.04006338119506836
24,"[ 1.06102121 90.87620909 99.9967     84.78177576 90.90909091 23.32920707
 66.66596667 78.77865455  0.        ]",[0.8802741  0.92769048 0.98219967 0.57745049],25.4063363636364,,,0.02795243263244629
25,"[1.06102121e+00 9.89540677e+01 9.99967000e+01 8.47817758e+01
 9.09090909e+01 1.02161596e+01 6.50000000e-03 3.83831394e+01
 0.00000000e+00]",[0.36030668 0.91267688 0.9994573  0.92835127],17.328477777777778,,,0.019945383071899414
26,"[ 1.06102121 76.73995657 99.9967     81.75609091 90.90909091  5.1726798
 71.71592626 20.20515758  1.        ]",[0.96058661 0.89001186 0.99849355 0.94982749],42.56827373737377,,,0.02856588363647461
27,"[1.06102121e+00 9.08762091e+01 9.99967000e+01 8.47817758e+01
 0.00000000e+00 1.42509434e+01 9.99957000e+01 7.40000000e-03
 0.00000000e+00]",[0.66396271 0.83556054 0.96593064 0.61935369],25.4063363636364,,,0.01693868637084961
28,"[ 1.06102121 97.94433535 99.9967     84.78177576 71.71717172 16.26833535
 64.64598283 78.77865455  0.        ]",[0.85634369 0.93258589 0.97858638 0.57745049],18.338210101010134,,,0.042137861251831055
29,"[ 1.06102121 84.81781515 99.9967     87.80746061 90.90909091 16.26833535
 72.72591818 20.20515758  1.        ]",[0.96058661 0.89001186 0.99803478 0.95533194],28.439045454545465,,,0.030336380004882812
30,"[ 1.06102121 84.81781515 99.9967     94.86739192 90.90909091 16.26833535
 70.70593434 20.20515758  0.        ]",[0.88872045 0.94735068 0.590635   0.54076435],21.379114141414107,,,0.035822391510009766
31,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 2.12423939e+01
 0.00000000e+00 1.42509434e+01 9.99957000e+01 2.02051576e+01
 0.00000000e+00]",[0.51177321 0.88839364 0.96607125 0.93913393],79.85833838383837,,,0.009000778198242188
32,"[ 1.06102121 90.87620909 99.9967     84.78177576 90.90909091 23.32920707
 66.66596667 78.77865455  0.        ]",[0.8802741  0.92769048 0.98219967 0.57745049],25.4063363636364,,,0.03429245948791504
33,"[1.06102121e+00 9.89540677e+01 9.99967000e+01 8.47817758e+01
 8.78787879e+01 5.17267980e+00 6.50000000e-03 2.02051576e+01
 0.00000000e+00]",[0.3341225  0.92373443 0.99602097 0.92684601],17.328477777777778,,,0.010959386825561523
34,"[ 1.06102121 85.82754747 99.9967     87.80746061 89.8989899  16.26833535
 72.72591818 20.20515758  1.        ]",[0.96058661 0.89569581 0.99725384 0.95533194],27.42931313131311,,,0.05295825004577637
35,"[ 1.06102121 97.94433535 74.74644747 84.78177576 90.90909091  0.1292
 36.36620909 78.77865455  0.        ]",[0.89433273 0.90833964 0.95549828 0.47292489],43.58846262626264,,,0.07549691200256348
36,"[ 1.06102121 98.95406768 99.9967     21.24239394 71.71717172  2.14659192
 72.72591818 20.20515758  1.        ]",[0.96058661 0.89684885 0.99591053 0.96586733],80.8678595959596,,,0.03471684455871582
37,"[ 1.06102121 98.95406768 99.9967     21.24239394 71.71717172  2.14659192
 80.80585354 20.20515758  1.        ]",[0.96058661 0.89684885 0.99530172 0.96586733],80.8678595959596,,,0.0265200138092041
